Stock,MSE,MAE,RMSE,MAPE
SBUX,0.0529512,0.20716815,0.23011129,0.29949227
TXN,0.028292986,0.13971305,0.16820519,0.17456865
NTES,0.1668855,0.38199812,0.4085162,0.46011728
MRVL,0.115691975,0.32822168,0.34013522,0.46380526
KLAC,0.12448215,0.33538067,0.35282028,0.47404084
AAPL,0.15167674,0.35805994,0.389457,0.49142936
GOOGL,0.03554784,0.16005947,0.18854135,0.19944543
AMAT,0.096081965,0.28242743,0.30997092,0.42046005
PAYX,0.09433737,0.29167753,0.3071439,0.49074706
MAR,0.13318296,0.33950794,0.3649424,1.0814836
MSFT,0.026635347,0.15232038,0.16320339,0.17703727
DXCM,0.43486154,0.6477271,0.65944034,0.7967415
BIIB,0.080732524,0.20932616,0.2841347,1.3971133
CMCSA,0.023688704,0.12678918,0.15391135,0.18686742
EBAY,0.15150407,0.3626106,0.38923523,0.48696047
ATVI,0.047222875,0.20890117,0.21730825,0.26307604
ADSK,0.03887467,0.17246564,0.1971666,0.228795
ADI,0.008219639,0.07776347,0.090662226,0.11070035
FISV,0.051340792,0.20938188,0.22658506,0.2838489
CTSH,0.07133693,0.23319578,0.26708975,11071118000000.0
QCOM,0.19569819,0.39478448,0.44237787,0.64865196
ADBE,0.07400578,0.24547622,0.27204004,0.29268342
CDNS,0.03579223,0.17732841,0.18918835,0.24753743
FTNT,0.17184034,0.4011081,0.4145363,0.49533847
GILD,0.021871986,0.13023566,0.1478918,1.4727101
PYPL,0.1447423,0.3730328,0.38045013,0.47558668
WDAY,0.022479856,0.12463915,0.14993285,0.19795206
KHC,0.00829383,0.085330084,0.091070466,0.3883096
WBA,0.29091582,0.53749377,0.5393661,13703495000000.0
BIDU,0.14829084,0.3669083,0.3850855,2.6922357
CME,0.048380613,0.21225666,0.21995594,0.32377246
TMUS,0.08514882,0.27043292,0.2918027,0.33983174
MELI,0.08043023,0.25422427,0.28360224,0.399987
JBHT,0.06515355,0.23450233,0.2552519,0.3337843
VRTX,0.034398414,0.15819247,0.1854681,0.18356828
INTC,0.022735095,0.13547595,0.15078162,0.21135479
MTCH,0.09862016,0.28975746,0.3140385,0.44844744
IDXX,0.070559174,0.23306108,0.26562977,0.31286994
ERIC,0.2464831,0.46439505,0.49647066,0.6181194
ROST,0.07207986,0.24378577,0.26847693,0.43052495
MNST,0.07896721,0.25151497,0.28101104,0.33578065
ODFL,0.11973125,0.32680345,0.34602204,0.3877843
ASML,0.098737724,0.2977827,0.31422558,0.41393512
INTU,0.042387158,0.179206,0.20588142,0.22113451
GOOG,0.043839782,0.1819421,0.20937952,0.22562689
NFLX,0.08768829,0.28247166,0.29612207,0.3295354
ORLY,0.1023802,0.30385348,0.31996906,0.3571294
MU,0.074711554,0.2456301,0.27333415,0.3656827
XLNX,0.17206672,0.38504633,0.41480926,0.6927545
AEP,0.012113031,0.08969378,0.11005922,0.14097455
ISRG,0.032079414,0.14935794,0.17910726,0.19163798
FB,0.07941482,0.2600069,0.28180635,0.33350325
AMZN,0.027296323,0.1472637,0.16521598,0.17787158
MDLZ,0.17356865,0.40641075,0.41661572,0.48380077
CSCO,0.037629597,0.17307572,0.1939835,0.29986522
HON,0.029123688,0.15444688,0.17065664,0.3051923
EA,0.04446049,0.18929574,0.21085656,0.23070112
VOD,0.048871886,0.2006022,0.22106987,1.2420262
SNPS,0.073703095,0.25877747,0.27148315,0.35378435
TSLA,0.22312537,0.40452936,0.47236148,0.84348667
SNY,0.2616048,0.49597895,0.5114732,0.605857
AVGO,0.035225175,0.1510672,0.18768372,0.19925188
MCHP,0.03567293,0.14799272,0.18887278,0.21946433
COST,0.018997267,0.111363985,0.13783057,0.13155067
TROW,0.07338618,0.25058588,0.27089882,0.32644314
AMD,0.06301576,0.21071099,0.2510294,0.26285756
POOL,0.07990418,0.25082636,0.28267327,0.3196085
ALGN,0.0681697,0.19606994,0.2610933,0.3247278
LRCX,0.13840798,0.33974323,0.37203223,0.5192268
PEP,0.05218728,0.22214586,0.22844535,0.27349192
CTAS,0.0217295,0.1265126,0.14740929,0.20432813
TEAM,0.014235173,0.088713996,0.11931124,0.106320985
NVDA,0.18322381,0.38919187,0.4280465,0.4927406
ADP,0.07201814,0.24050838,0.26836196,0.37431934
CSX,0.019076569,0.10768695,0.13811795,0.14738838
CHTR,0.20367327,0.43666434,0.45130175,0.53813297
LULU,0.3119478,0.53960294,0.5585229,0.71176493
SIVB,0.1109257,0.29817185,0.3330551,0.75290644
ILMN,0.07296925,0.23912022,0.27012822,0.29421884
AZN,0.23695233,0.4779132,0.4867775,0.5930192
BKNG,0.058950428,0.2035723,0.24279709,0.48588946
AMGN,0.045493305,0.18922186,0.2132916,0.22483735
KDP,0.027164588,0.15326692,0.16481683,0.1923715
REGN,0.19087285,0.4237921,0.43688998,0.54572415
NXPI,0.09222659,0.253258,0.30368832,0.4192106
EXC,0.14115122,0.36284843,0.37570098,0.64045876
JD,0.2853925,0.4969691,0.5342214,0.6655182
