Stock,Epoch,Lookback,Delay,N_Top,Validation Loss,MSE,MAE,RMSE,MAPE
TXN,1,31,-3,3,0.04652149677276611,0.054605447,0.1937496,0.23367809,0.8604489
TXN,2,35,-3,3,0.05262516140937805,0.046906058,0.18197931,0.21657807,1.1593918
TXN,3,28,-3,3,0.04933706447482109,0.04646311,0.17444754,0.21555303,1.0905373
TXN,4,30,-2,3,0.049666904658079145,0.052838694,0.18820159,0.22986668,9122995000000.0
TXN,5,29,-3,2,0.05097651407122612,0.053001955,0.19379827,0.23022154,1.2987168
TXN,6,26,-3,3,0.04222115439673265,0.053385787,0.19572128,0.23105365,1.62867
TXN,7,25,-2,2,0.046903777246673904,0.051335316,0.18273728,0.22657298,1.146247
TXN,8,28,-3,2,0.047512563318014144,0.056858428,0.19491546,0.23845005,1.1052786
TXN,9,27,-2,3,0.06850524060428143,0.04696092,0.17365265,0.21670468,0.8731403
TXN,10,30,-2,2,0.04656843692064285,0.052204292,0.18645754,0.22848259,1.2888867
TXN,11,24,-3,2,0.03948800514141718,0.05800175,0.2047801,0.24083552,1.1799489
TXN,12,23,-2,2,0.044658842807014786,0.051443625,0.18978757,0.22681187,11373897000000.0
