Stock,Epoch,Lookback,Delay,N_Top,Validation Loss,MSE,MAE,RMSE,MAPE
SBUX,1,30,-3,2,0.0617523193359375,0.061752312,0.21718213,0.24850012,8028530700000.0
SBUX,2,30,-3,2,0.0631127804517746,0.06311278,0.2196509,0.25122258,1.7504711
SBUX,3,27,-3,2,0.05830807983875275,0.058308087,0.21057643,0.24147068,1.2534654
SBUX,4,27,-3,2,0.05125380679965019,0.051253803,0.19693813,0.22639303,3.0935168
SBUX,5,29,-2,2,0.06929991394281387,0.069299914,0.22694959,0.26324877,8446273400000.0
SBUX,6,27,-3,2,0.06514659523963928,0.065146595,0.22306238,0.25523832,1.2995467
SBUX,7,24,-3,2,0.061857547610998154,0.061857548,0.21686545,0.24871178,1.4273221
SBUX,8,29,-2,2,0.0702579990029335,0.070258,0.22933139,0.26506224,1.2810968
SBUX,9,26,-3,2,0.05558786168694496,0.055587858,0.20673227,0.23577078,3.310821
SBUX,10,25,-2,2,0.0703219473361969,0.070321955,0.23223923,0.26518288,2.931963
SBUX,11,33,-3,2,0.06240733712911606,0.06240734,0.21491197,0.24981461,1.3932357
SBUX,12,24,-3,2,0.0638781487941742,0.06387816,0.21692877,0.2527413,1.5315723
SBUX,13,27,-3,2,0.0730619952082634,0.073061995,0.23713699,0.27029982,1.6823156
SBUX,14,32,-3,2,0.0633922889828682,0.06339228,0.21280736,0.25177824,1.7807233
SBUX,15,26,-3,2,0.06211288645863533,0.062112886,0.2225582,0.24922457,1.8362725
SBUX,16,30,-3,2,0.05946044996380806,0.059460454,0.21243398,0.24384515,1.9356437
SBUX,17,30,-2,2,0.07236963510513306,0.072369635,0.23263706,0.26901606,8062556400000.0
SBUX,18,28,-3,2,0.06402134150266647,0.064021334,0.215776,0.25302437,1.3732953
SBUX,19,25,-2,2,0.059523023664951324,0.059523027,0.21320601,0.24397342,1.9697213
SBUX,20,30,-2,2,0.05601339787244797,0.056013398,0.20693241,0.23667149,1.1796473
SBUX,21,30,-2,2,0.058167632669210434,0.058167633,0.21845187,0.24117967,1.7933908
SBUX,22,31,-2,2,0.06517072767019272,0.065170735,0.22769384,0.2552856,1.3879303
SBUX,23,24,-3,2,0.06050135940313339,0.060501367,0.2146559,0.24597025,8081411400000.0
SBUX,24,28,-2,2,0.05617884546518326,0.05617885,0.20907135,0.23702078,1.7945694
SBUX,25,26,-3,2,0.05532122403383255,0.055321224,0.2048095,0.23520464,1.2891058
SBUX,26,28,-3,2,0.06126796081662178,0.06126796,0.21735564,0.24752365,1.3781748
SBUX,27,21,-3,2,0.05342797189950943,0.053427964,0.20416796,0.2311449,1.3711072
SBUX,28,29,-2,2,0.062347978353500366,0.062347975,0.21416213,0.24969576,1.8528423
SBUX,29,25,-2,2,0.05758693069219589,0.057586934,0.20636848,0.23997279,1.6596625
SBUX,30,29,-2,2,0.06640822440385818,0.06640822,0.22672428,0.2576979,9677301000000.0
SBUX,31,22,-2,2,0.07066017389297485,0.070660174,0.22752155,0.26581982,1.2652602
SBUX,32,25,-3,2,0.06720364093780518,0.06720364,0.22572143,0.25923666,1.611069
SBUX,33,28,-2,2,0.06200141832232475,0.06200142,0.21407469,0.24900085,1.3175192
SBUX,34,23,-3,2,0.057008031755685806,0.05700804,0.20961028,0.23876357,1.4076407
SBUX,35,26,-3,2,0.06500867754220963,0.065008685,0.22957042,0.25496802,1.5751061
SBUX,36,30,-3,2,0.06375248730182648,0.06375249,0.21527372,0.25249255,1.6125379
SBUX,37,29,-3,2,0.0653572753071785,0.06535727,0.22298786,0.25565067,1.397316
SBUX,38,31,-3,2,0.05373452976346016,0.05373453,0.20586973,0.2318071,1.2261226
SBUX,39,24,-3,2,0.06202251464128494,0.062022522,0.21566433,0.24904321,1.8554038
SBUX,40,31,-2,2,0.05615852773189545,0.056158528,0.20823246,0.2369779,2.8668003
SBUX,41,27,-2,2,0.07226134836673737,0.072261356,0.23916939,0.2688147,2.6572607
SBUX,42,28,-3,2,0.062381889671087265,0.062381886,0.22057469,0.24976367,1.469681
SBUX,43,27,-3,2,0.06604365259408951,0.06604365,0.21945228,0.2569896,1.247791
SBUX,44,26,-3,2,0.06584703177213669,0.065847024,0.2292609,0.25660676,1.7637699
