Stock,Epoch,Lookback,Delay,N_Top,Validation Loss,MSE,MAE,RMSE,MAPE
SBUX,1,29,-2,2,0.05425260898967584,0.05419434,0.20671588,0.23279677,1.4125164
SBUX,2,36,-3,2,0.061349486311276756,0.061502103,0.21928185,0.24799618,6907819000000.0
SBUX,3,29,-1,2,0.05646188432971636,0.056484345,0.2101638,0.23766436,1.3776823
SBUX,4,22,-1,2,0.05376671006282171,0.053583387,0.20820634,0.23148085,3.0866594
SBUX,5,20,-1,2,0.06414794983963172,0.064243495,0.21971558,0.253463,2.6771383
SBUX,6,20,-1,4,0.07239126476148765,0.072270386,0.23219389,0.26883152,7236625600000.0
SBUX,7,40,-1,2,0.06331668235361576,0.06345901,0.22071047,0.25191072,1.2623626
SBUX,8,20,-1,2,0.06941723637282848,0.06968537,0.22962111,0.26397985,1.3688852
SBUX,9,33,-1,2,0.06176338468988737,0.061759517,0.21662353,0.24851462,1.5279648
SBUX,10,21,-1,2,0.057393371437986694,0.05720339,0.21403398,0.2391723,7283166700000.0
SBUX,11,25,-1,2,0.061396649107337,0.061535694,0.2208252,0.24806389,1.5433686
SBUX,12,29,-1,3,0.06327045398453872,0.063081875,0.21813348,0.25116107,1.3241551
SBUX,13,24,-1,2,0.06564461005230744,0.06556135,0.22656278,0.2560495,2.019593
SBUX,14,30,-1,2,0.06433134091397126,0.06474483,0.22340325,0.25445005,3.204493
SBUX,15,20,-1,2,0.05924251116812229,0.059052996,0.21700466,0.24300823,2.987041
SBUX,16,20,-1,3,0.06090488284826279,0.06071811,0.21621636,0.24641046,2.9590094
SBUX,17,22,-1,2,0.05860200896859169,0.058472503,0.21435834,0.24181089,1.5639418
SBUX,18,22,-1,2,0.07362301523486774,0.07380896,0.22869098,0.27167806,1.4935721
SBUX,19,29,-1,2,0.05900908758242925,0.058602504,0.216604,0.24207954,3.2084327
SBUX,20,20,-1,2,0.06608634814620018,0.065799884,0.22510646,0.25651488,1.4165272
SBUX,21,20,-1,2,0.07237903214991093,0.072335355,0.23595741,0.26895234,1.2734818
SBUX,22,20,-1,2,0.05827095794181029,0.058486264,0.21578328,0.24183933,1.4346325
SBUX,23,26,-1,2,0.0565152931958437,0.056445375,0.211081,0.23758236,1.803591
SBUX,24,37,-1,2,0.06460591778159142,0.06430423,0.22312967,0.2535828,2.7790225
SBUX,25,20,-1,2,0.05449219048023224,0.054660372,0.20836647,0.23379558,1.7208953
SBUX,26,20,-1,2,0.05804044256607691,0.057924528,0.21653703,0.24067515,2.0141685
SBUX,27,24,-1,2,0.06676611552635829,0.06647106,0.22657472,0.25781983,1.710128
SBUX,28,20,-1,2,0.06592915765941143,0.06586645,0.22787659,0.2566446,1.6356511
SBUX,29,20,-1,2,0.05465942434966564,0.0548087,0.21335168,0.23411258,1.8021362
SBUX,30,40,-1,2,0.06337361472348373,0.06314866,0.22514081,0.251294,7193744000000.0
SBUX,31,38,-1,2,0.06905806809663773,0.068832636,0.22990304,0.26235974,1.9706684
SBUX,32,20,-1,2,0.06914854608476162,0.068682544,0.22891904,0.26207355,7068894400000.0
SBUX,33,27,-1,2,0.06003935759266218,0.059851028,0.22043873,0.2446447,1.4174529
SBUX,34,40,-1,2,0.057525079076488815,0.057198975,0.20906682,0.23916307,7064917600000.0
SBUX,35,20,-1,2,0.0628428217023611,0.06273509,0.21950531,0.25046974,1.3772786
SBUX,36,40,-1,2,0.06460972192386787,0.06442813,0.22329016,0.25382698,1.4081444
SBUX,37,29,-1,3,0.06614841458698113,0.06632374,0.22742407,0.25753397,1.4092144
SBUX,38,30,-1,3,0.057419843350847564,0.057801258,0.2143668,0.24041893,1.5830371
SBUX,39,20,-1,2,0.05452730506658554,0.054685734,0.20536856,0.23384981,1.2901288
SBUX,40,40,-1,2,0.05497512097160021,0.05503957,0.20746118,0.23460513,1.4534217
SBUX,41,26,-1,2,0.06143263727426529,0.0615185,0.21870176,0.24802923,2.047137
SBUX,42,20,-1,2,0.05766228958964348,0.057767686,0.21722148,0.24034908,1.8358295
SBUX,43,20,-1,2,0.06291173833111922,0.06268791,0.22299941,0.25037554,1.7090899
SBUX,44,20,-1,3,0.04876449021200339,0.04899576,0.19890615,0.22134985,7254440400000.0
SBUX,45,20,-1,2,0.06138200002412001,0.061223183,0.22540876,0.24743319,3.1672285
SBUX,46,20,-1,3,0.06667409588893254,0.06672019,0.22670475,0.2583025,6961277400000.0
SBUX,47,21,-1,4,0.06137582970162233,0.06132847,0.21487124,0.24764585,1.1771495
SBUX,48,25,-1,2,0.06586204717556636,0.066181526,0.22907643,0.2572577,1.5776407
SBUX,49,20,-1,2,0.05980764950315157,0.05987294,0.21509303,0.24468948,1.2951493
SBUX,50,20,-1,4,0.06048050212363402,0.060829,0.22065507,0.24663536,7188586700000.0
SBUX,51,28,-1,2,0.05700821615755558,0.056684744,0.20914032,0.23808558,1.7751071
SBUX,52,20,-1,3,0.06834420561790466,0.06871562,0.23040143,0.26213664,1.5538976
SBUX,53,20,-1,4,0.06409357115626335,0.06382754,0.22019188,0.2526411,2.9230042
SBUX,54,20,-1,4,0.06288990378379822,0.06289375,0.22396462,0.25078627,2.0458574
SBUX,55,20,-1,3,0.05790594965219498,0.057879113,0.21863572,0.24058078,1.6705949
SBUX,56,20,-1,4,0.061277829110622406,0.06119999,0.22023481,0.24738632,1.663319
SBUX,57,20,-1,2,0.06317672754327457,0.06312421,0.2201616,0.25124532,1.5911313
SBUX,58,20,-1,3,0.06136197472612063,0.061380368,0.21676965,0.24775061,1.3490034
SBUX,59,40,-1,3,0.062154329692324005,0.061989043,0.2167723,0.24897599,1.3982202
SBUX,60,23,-1,3,0.06251076981425285,0.062185783,0.22107938,0.24937077,1.5862803
SBUX,61,20,-1,2,0.06415819376707077,0.06433285,0.2244375,0.25363922,3.0781314
SBUX,62,20,-1,2,0.05776535657544931,0.05789994,0.21234836,0.24062407,7190797600000.0
SBUX,63,20,-1,4,0.05446207337081432,0.05410632,0.20610063,0.23260765,3.230764
SBUX,64,40,-1,2,0.05479426868259907,0.054751232,0.20788759,0.2339898,1.4162747
SBUX,65,34,-1,3,0.07199464117487271,0.07186175,0.23714004,0.26807043,1.6917174
SBUX,66,30,-1,2,0.053974887977043785,0.05404078,0.20690857,0.23246673,1.7560596
SBUX,67,22,-1,4,0.06097241987784704,0.06107678,0.22246024,0.24713716,7100652000000.0
SBUX,68,20,-1,3,0.06206141163905462,0.062148925,0.22035968,0.24929686,1.585832
SBUX,69,20,-1,2,0.06304329012831052,0.06315796,0.22498342,0.25131246,1.5283284
SBUX,70,27,-1,2,0.060639710476001106,0.060990956,0.2162554,0.24696347,2.7618096
SBUX,71,28,-1,4,0.05946996187170347,0.059042536,0.2132302,0.2429867,1.1969085
SBUX,72,24,-1,3,0.05319404353698095,0.053163134,0.20669748,0.23057131,1.383277
SBUX,73,28,-1,2,0.066779850050807,0.066640556,0.22318129,0.2581483,6954821000000.0
SBUX,74,20,-1,2,0.05985667742788792,0.060341652,0.21752845,0.24564537,2.7121198
SBUX,75,20,-1,4,0.06265836705764134,0.06254528,0.21515262,0.25009054,1.246886
SBUX,76,39,-1,2,0.06791216880083084,0.06792778,0.23084348,0.2606296,1.429719
SBUX,77,25,-1,4,0.062042667220036186,0.061540354,0.21561886,0.24807328,1.5839789
SBUX,78,26,-1,2,0.05722734580437342,0.057044085,0.21437857,0.23883903,1.5218018
SBUX,79,20,-1,2,0.06560849212110043,0.06578381,0.22166772,0.25648355,1.7096294
SBUX,80,20,-1,2,0.058913109824061394,0.059010535,0.21751449,0.24292085,7150864000000.0
SBUX,81,20,-1,4,0.05304665925602118,0.053072806,0.20924816,0.23037536,1.6953882
SBUX,82,26,-1,2,0.06632868759334087,0.06602709,0.22516207,0.25695738,1.6359917
SBUX,83,35,-1,3,0.05358125579853853,0.05354308,0.20026669,0.23139377,1.1845816
SBUX,84,20,-1,4,0.06880913488566875,0.068881966,0.23229575,0.26245373,1.6106501
SBUX,85,20,-1,2,0.0641122292727232,0.064482816,0.2240214,0.25393468,1.4286422
SBUX,86,24,-1,3,0.06035533547401428,0.06038635,0.21490283,0.24573635,1.2274672
SBUX,87,24,-1,2,0.05456161436935266,0.054640785,0.21062386,0.23375368,1.620735
SBUX,88,20,-1,4,0.056301554664969444,0.056391787,0.21196328,0.23746955,1.892492
SBUX,89,20,-1,4,0.05748701902727286,0.057238527,0.21263191,0.23924574,1.4743106
SBUX,90,20,-1,2,0.057996384178598724,0.058010872,0.20968607,0.24085446,1.5781165
SBUX,91,20,-1,4,0.0634268478800853,0.06324557,0.22118932,0.25148672,1.7654293
SBUX,92,20,-1,4,0.06018473580479622,0.0603248,0.21999134,0.24561107,1.6303425
SBUX,93,20,-1,4,0.05983103563388189,0.05970755,0.21749063,0.24435128,1.5824254
SBUX,94,20,-1,2,0.056368076552947365,0.055860944,0.20874721,0.2363492,1.4829426
SBUX,95,39,-1,4,0.05812762677669525,0.05820523,0.21309954,0.2412576,7309205400000.0
SBUX,96,20,-1,3,0.06215317112704118,0.062440224,0.22390507,0.24988042,3.0334878
SBUX,97,20,-1,3,0.05945942550897598,0.059289962,0.21976097,0.2434953,7185042500000.0
SBUX,98,20,-1,2,0.05733717978000641,0.057345394,0.21538386,0.23946898,7282776000000.0
SBUX,99,20,-1,2,0.06228861274818579,0.06251111,0.2193637,0.2500222,7053749000000.0
SBUX,100,20,-1,2,0.06189214438199997,0.06206403,0.22218782,0.24912654,2.156047
SBUX,101,22,-1,4,0.0634178388863802,0.06369888,0.21618305,0.25238636,1.576825
SBUX,102,23,-1,2,0.06459983251988888,0.063986376,0.22282332,0.2529553,1.3099871
SBUX,103,20,-1,2,0.06393345569570859,0.06425252,0.22417207,0.2534808,7097998600000.0
SBUX,104,21,-1,2,0.05736174744864305,0.057792865,0.21118538,0.24040146,1.7221661
SBUX,105,32,-1,3,0.05944041162729263,0.059296444,0.21851884,0.2435086,1.550622
SBUX,106,20,-1,3,0.07467865881820519,0.07492651,0.23287363,0.27372706,1.4506135
SBUX,107,20,-1,4,0.060618033011754356,0.060659047,0.22267906,0.24629058,3.0554466
SBUX,108,20,-1,2,0.056512889762719475,0.05631797,0.20924976,0.23731408,1.4077017
SBUX,109,33,-1,3,0.056092247987786926,0.056299437,0.2088333,0.23727502,1.294386
SBUX,110,20,-1,4,0.06039566546678543,0.0604091,0.2182178,0.24578263,7117098000000.0
SBUX,111,24,-1,4,0.0584941158692042,0.058818743,0.21589272,0.24252576,7200339700000.0
SBUX,112,20,-1,2,0.059206701815128326,0.05869417,0.21266925,0.2422688,1.414839
SBUX,113,29,-1,2,0.06225957597295443,0.062335,0.22195503,0.24966978,1.6039217
SBUX,114,20,-1,3,0.05674093775451183,0.05705097,0.21526454,0.23885345,1.5062557
SBUX,115,40,-1,2,0.06258854642510414,0.06254418,0.22111548,0.25008833,3.2013414
SBUX,116,20,-1,2,0.0598246573160092,0.059772704,0.21954401,0.24448457,1.424698
SBUX,117,20,-1,2,0.06105420924723148,0.061264917,0.22136232,0.24751751,1.4196756
SBUX,118,40,-1,4,0.06552217714488506,0.06555812,0.22734821,0.2560432,1.3919009
SBUX,119,20,-1,3,0.06905764962236087,0.06911029,0.22640441,0.26288837,2.68705
SBUX,120,21,-1,3,0.06025200585524241,0.059890218,0.21688104,0.24472478,3.277208
SBUX,121,33,-1,2,0.06594248674809933,0.066006795,0.22822505,0.25691786,1.4369969
SBUX,122,20,-1,4,0.06277770424882571,0.06295342,0.21874115,0.25090522,1.5996642
SBUX,123,20,-1,3,0.06685370455185573,0.06694415,0.22605482,0.2587357,1.7768779
SBUX,124,26,-1,3,0.05855655732254187,0.05865219,0.21867938,0.24218214,1.6252427
SBUX,125,21,-1,3,0.05652998574078083,0.05652742,0.20993508,0.23775496,7366728000000.0
SBUX,126,27,-1,4,0.06493970813850562,0.065291114,0.22347154,0.25552127,7037750000000.0
SBUX,127,26,-1,2,0.06831855202714603,0.06816485,0.23085509,0.261084,1.59608
SBUX,128,20,-1,2,0.06397435317436855,0.06400025,0.22524022,0.2529827,1.558231
SBUX,129,20,-1,3,0.06148063763976097,0.061155967,0.21909751,0.24729733,7077085300000.0
SBUX,130,20,-1,2,0.0632454367975394,0.06300177,0.22220404,0.25100154,1.7939875
SBUX,131,20,-1,4,0.05831165363391241,0.05864268,0.21380664,0.24216251,1.4290265
SBUX,132,20,-1,4,0.056820557142297425,0.056355212,0.21527885,0.23739253,1.8456278
SBUX,133,20,-1,2,0.06478525387744109,0.06462447,0.22241496,0.25421345,1.374482
SBUX,134,20,-1,2,0.057642340660095215,0.05753279,0.2110262,0.23985994,1.8573375
SBUX,135,21,-1,4,0.05521921689311663,0.05484995,0.20967036,0.23420066,1.4934597
SBUX,136,37,-1,2,0.0655205665777127,0.066053115,0.22481401,0.25700802,7012258000000.0
SBUX,137,20,-1,2,0.06771944835782051,0.06802185,0.22789383,0.26081,1.3528655
SBUX,138,20,-1,2,0.06573171106477578,0.06576763,0.22233544,0.256452,1.9153988
SBUX,139,20,-1,4,0.07469998113811016,0.074458696,0.23477915,0.2728712,1.1908855
SBUX,140,20,-1,2,0.058578805377086006,0.05814935,0.21276402,0.24114177,6999822000000.0
SBUX,141,20,-1,2,0.07150810211896896,0.071430154,0.23536025,0.26726422,3.0871868
SBUX,142,20,-1,3,0.06154461515446504,0.061557602,0.21758005,0.24810804,1.417324
SBUX,143,31,-1,2,0.07292770408093929,0.07317515,0.2354875,0.27050906,1.2623006
SBUX,144,20,-1,2,0.05962692884107431,0.059604593,0.22092235,0.24414052,1.7445998
SBUX,145,40,-1,2,0.058494829262296356,0.058450367,0.21159923,0.24176511,2.2327485
SBUX,146,23,-1,2,0.0643816130856673,0.06397207,0.21988252,0.252927,1.4655468
SBUX,147,23,-1,2,0.05807688211401304,0.058009725,0.21194656,0.24085209,2.7491267
SBUX,148,24,-1,2,0.05949405829111735,0.059558865,0.2146203,0.24404685,1.5771539
SBUX,149,20,-1,2,0.06547195836901665,0.065449074,0.22722204,0.25583017,3.6973875
SBUX,150,20,-1,3,0.06854203840096791,0.06857787,0.23149756,0.26187378,1.5711435
TXN,1,20,-5,3,0.049120064824819565,0.048934918,0.18270853,0.22121239,10215403000000.0
TXN,2,20,-5,3,0.05073432127634684,0.050998706,0.18511789,0.22582893,1.1296049
TXN,3,20,-4,2,0.056816945473353066,0.056697328,0.19425027,0.238112,10099848000000.0
TXN,4,20,-5,4,0.05210298299789429,0.05234706,0.18490994,0.2287948,1.0046675
TXN,5,20,-3,2,0.05363126223285993,0.05369651,0.19658129,0.23172507,3.1948655
TXN,6,20,-5,3,0.05159480373064677,0.05147456,0.1910264,0.22688006,1.0915636
TXN,7,20,-4,4,0.052844696988662086,0.053010758,0.18885356,0.23024066,1.2416968
TXN,8,20,-5,3,0.047666823491454124,0.047580983,0.17537488,0.21813066,1.1709034
TXN,9,20,-5,2,0.05224039778113365,0.052223027,0.18627875,0.22852358,1.579369
TXN,10,22,-2,2,0.05308885003129641,0.053002458,0.19250691,0.23022263,1.6283784
TXN,11,40,-1,2,0.04539330179492632,0.045621064,0.1685064,0.21359088,2.7142673
TXN,12,39,-1,2,0.05841753880182902,0.05824579,0.19955233,0.24134165,1.6777048
TXN,13,40,-1,2,0.05121599696576595,0.050980404,0.18234518,0.2257884,1.4156127
TXN,14,33,-1,2,0.04982919432222843,0.049668834,0.18640994,0.22286506,1.2187979
TXN,15,35,-1,2,0.05781935714185238,0.057487853,0.20161653,0.23976624,1.5363312
TXN,16,40,-1,2,0.056954399993022285,0.056921907,0.19618635,0.23858312,3.1455078
TXN,17,32,-2,2,0.05098617201050123,0.050951287,0.18256383,0.22572392,1.0997614
TXN,18,40,-1,2,0.0472647100687027,0.04752656,0.1797634,0.21800587,1.0970271
TXN,19,37,-1,2,0.05734143716593584,0.05743265,0.19774997,0.2396511,3.3466952
TXN,20,40,-1,2,0.05120563879609108,0.051479287,0.18545261,0.22689047,1.216275
TXN,21,40,-1,2,0.05499122540156046,0.054905593,0.19553669,0.23431942,1.7317235
TXN,22,40,-1,2,0.049889267732699714,0.04983676,0.18600844,0.22324148,1.3726985
TXN,23,40,-1,2,0.05002177072068056,0.05021074,0.18512519,0.22407754,0.9258173
TXN,24,40,-1,2,0.04801449365913868,0.048297025,0.1838874,0.21976584,1.5966245
TXN,25,40,-1,2,0.0533909040192763,0.053238686,0.1920424,0.2307351,0.9820941
TXN,26,39,-1,2,0.05369856208562851,0.05339463,0.18919864,0.23107278,1.3801073
TXN,27,40,-1,2,0.05741764232516289,0.057780515,0.20262644,0.24037577,1.3412445
TXN,28,40,-1,2,0.0536705826719602,0.053548668,0.18880254,0.23140585,1.2614952
TXN,29,24,-1,2,0.055664811904231705,0.055473745,0.19356847,0.23552865,1.3029901
TXN,30,40,-1,2,0.05540763276318709,0.055556968,0.19915041,0.23570526,10135748000000.0
TXN,31,29,-1,2,0.05672528160115083,0.057004888,0.19984806,0.23875697,1.468155
TXN,32,23,-1,2,0.05209565659364065,0.052012835,0.18968733,0.22806323,1.1669196
TXN,33,40,-1,2,0.04231488207976023,0.04245964,0.1682846,0.20605737,1.2624791
TXN,34,40,-1,2,0.053502449144919716,0.05367955,0.18489659,0.23168847,9898148000000.0
TXN,35,37,-1,2,0.05484355675677458,0.05485995,0.1969017,0.23422201,1.2632604
TXN,36,40,-1,2,0.04594749895234903,0.045732245,0.17682496,0.21385099,1.4343284
TXN,37,37,-1,2,0.045867654184500374,0.04590696,0.17396589,0.2142591,0.69051856
TXN,38,40,-1,2,0.049395302310585976,0.049016304,0.17839172,0.22139627,10095168000000.0
TXN,39,40,-1,3,0.04927294204632441,0.049451206,0.18448536,0.22237627,1.1629798
TXN,40,40,-1,4,0.058360746751228966,0.05855838,0.20008102,0.24198839,1.4367971
TXN,41,20,-1,3,0.05940012447535992,0.05946249,0.20513129,0.24384932,1.2890646
TXN,42,40,-1,2,0.05295726532737414,0.053002853,0.1874201,0.23022349,3.0375857
TXN,43,38,-1,2,0.05774985564251741,0.057531074,0.19573699,0.23985636,1.2993443
TXN,44,40,-1,2,0.05232529963056246,0.052452378,0.18430312,0.22902484,2.749915
TXN,45,20,-1,2,0.05382246834536394,0.053920012,0.1924117,0.23220684,1.391628
