Stock,MSE,MAE,RMSE,MAPE
DXCM,0.003125995,0.04165842,0.0559106,0.048866786
ASML,0.01620207,0.105236724,0.12728736,0.13583077
CMCSA,0.010969567,0.0889933,0.1047357,0.12421179
QCOM,0.015080433,0.103542775,0.122802414,0.15724525
CDNS,0.016383843,0.10848508,0.1279994,0.13784268
WBA,0.016846905,0.12415657,0.12979563,5664138600000.0
ROST,0.009642242,0.08281181,0.09819492,0.1265757
CSX,0.0018674339,0.032853544,0.043213814,0.04240739
BKNG,0.014111393,0.09949605,0.11879139,0.15900834
CME,0.014803744,0.10830684,0.12167063,0.16805267
POOL,0.023407195,0.14257967,0.1529941,0.18029927
JD,0.006969693,0.06629263,0.08348469,0.091527484
ADP,0.013048549,0.09393312,0.114230245,0.122827984
MCHP,0.021440359,0.11335981,0.14642526,0.15465619
MNST,0.018560508,0.11072251,0.13623695,0.13806237
INTC,0.009690458,0.079073064,0.098440126,0.12754333
SBUX,0.00619795,0.06627211,0.07872706,0.09203406
MAR,0.004880162,0.05325016,0.069858156,0.12814201
GOOGL,0.004824023,0.05887984,0.06945519,0.07258045
KDP,0.003761143,0.052802604,0.061328158,0.06007612
TXN,0.013422313,0.107648976,0.11585471,0.13463908
BIDU,0.0072798366,0.077822454,0.085321955,0.46334127
XLNX,0.016516704,0.09086374,0.12851733,0.121042505
AMGN,0.0070792143,0.06983199,0.084138066,0.07996757
MDLZ,0.0066881264,0.066279255,0.08178096,0.07987633
ISRG,0.009354978,0.081927076,0.096721135,0.09903558
NFLX,0.042357605,0.18722245,0.20580964,0.21207651
EBAY,0.00424937,0.051709056,0.06518719,0.06304344
MRVL,0.02963888,0.14822327,0.17215946,0.18181632
NTES,0.0218676,0.13920243,0.14787698,0.1633414
GILD,0.000984949,0.025177453,0.031383894,0.23563026
TSLA,0.04876114,0.17997567,0.22081925,0.315263
SNY,0.011462661,0.08587393,0.10706382,0.099998906
AVGO,0.012125897,0.096728355,0.11011765,0.1265553
PAYX,0.006153231,0.061303657,0.07844254,0.0831964
PEP,0.01158992,0.095185846,0.107656494,0.11082671
ADSK,0.024979575,0.1440572,0.15804929,0.18294233
AMAT,0.0064427615,0.05856724,0.08026681,0.0800799
TEAM,0.00795788,0.07052139,0.08920695,0.08618743
LRCX,0.017067438,0.10470718,0.1306424,0.14788558
WDAY,0.002958304,0.040742144,0.054390293,0.05357337
NXPI,0.0040267524,0.050508678,0.0634567,0.08787113
KLAC,0.016166568,0.10570967,0.12714782,0.13733052
FISV,0.0052777594,0.06294859,0.07264819,0.08451387
VRTX,0.0072491155,0.074137725,0.08514174,0.09182195
MELI,0.0543117,0.20649943,0.2330487,0.3016581
AMZN,0.04881516,0.20132458,0.22094153,0.2297656
SNPS,0.015712813,0.11451744,0.12535076,0.1468082
ODFL,0.0024405338,0.042202514,0.04940176,0.049285535
EXC,0.0042923973,0.048914846,0.06551639,0.07844007
CSCO,0.001595404,0.030534493,0.03994251,0.04983066
REGN,0.0033306037,0.0463268,0.05771138,0.05664854
SIVB,0.0033558896,0.044994716,0.05793004,0.07440857
CTAS,0.017865105,0.12663163,0.1336604,0.15903032
MU,0.0018938198,0.033925194,0.04351804,0.04903711
VOD,0.0020073042,0.0394458,0.04480295,0.19415742
ORLY,0.0021297557,0.036513843,0.046149276,0.041042056
CTSH,0.0025371683,0.038758602,0.050370313,0.07984423
ILMN,0.003965281,0.05170204,0.062970474,0.0653061
ADI,0.011308774,0.079236165,0.10634272,0.09722939
ATVI,0.0034837516,0.048928197,0.059023313,0.058753666
TROW,0.010334501,0.088349596,0.10165875,0.10796034
PYPL,0.022492355,0.12731567,0.14997451,0.15698923
GOOG,0.010027838,0.08532023,0.1001391,0.10223307
JBHT,0.0037377402,0.04899198,0.06113706,0.06144502
AAPL,0.082944274,0.2651314,0.28800046,0.3432175
TMUS,0.02193131,0.13622811,0.14809223,0.16538402
KHC,0.0018380177,0.038480945,0.04287211,0.17608309
ERIC,0.0065003154,0.063103214,0.080624536,0.0784053
NVDA,0.04416031,0.18575189,0.21014355,0.22142689
BIIB,0.00378367,0.03144768,0.061511543,0.18379907
INTU,0.009338507,0.0810093,0.09663595,0.09579616
ADBE,0.008066674,0.07836416,0.08981466,0.09365506
COST,0.01648003,0.10922792,0.12837458,0.12698725
AMD,0.02442579,0.12638138,0.15628752,0.15022758
AEP,0.0043317135,0.04876959,0.065815754,0.075598195
ALGN,0.006880227,0.057717193,0.082947135,0.08738065
MTCH,0.027413763,0.14371745,0.16557102,0.19289093
MSFT,0.0014445627,0.029129885,0.038007405,0.032952674
FB,0.021077795,0.12316033,0.14518194,0.1464178
IDXX,0.036293086,0.17426783,0.19050744,0.22696823
CHTR,0.007278769,0.07467293,0.085315704,0.08607508
AZN,0.0045910464,0.056263003,0.067757264,0.06778886
EA,0.0032857952,0.046476793,0.057321858,0.056506995
HON,0.018549757,0.10091749,0.13619749,0.14739019
FTNT,0.01670642,0.10232489,0.12925331,0.1172424
LULU,0.030547256,0.16205326,0.17477773,0.20020518
