Stock,MSE,MAE,RMSE,MAPE
DXCM,0.019096452742815018,0.11847320199012756,0.1381899118423462,0.13328376412391663
ASML,0.04451385512948036,0.19564567506313324,0.2109830677509308,0.24578949809074402
CMCSA,0.005986845586448908,0.05529530718922615,0.07737471163272858,0.07186269015073776
QCOM,0.017045117914676666,0.1126285195350647,0.13055695593357086,0.15325509011745453
CDNS,0.019059956073760986,0.12776994705200195,0.13805779814720154,0.15974979102611542
WBA,0.016053803265094757,0.12005648761987686,0.12670360505580902,6505325133824.0
ROST,0.010130515322089195,0.08256189525127411,0.10065045952796936,0.13016647100448608
CSX,0.0028069911058992147,0.039768993854522705,0.052981045097112656,0.047066397964954376
BKNG,0.013245179317891598,0.08380269259214401,0.11508770287036896,0.11235849559307098
CME,0.006288881879299879,0.06492108851671219,0.07930246740579605,0.10333465784788132
POOL,0.01960224285721779,0.13175949454307556,0.14000801742076874,0.1598420888185501
JD,0.048726364970207214,0.21313399076461792,0.22074049711227417,0.2731055021286011
ADP,0.010815680027008057,0.08943593502044678,0.10399845987558365,0.12031567096710205
MCHP,0.026435457170009613,0.13109458982944489,0.16258984804153442,0.17087137699127197
MNST,0.03964759036898613,0.18413697183132172,0.1991170197725296,0.227168008685112
INTC,0.011095596477389336,0.09234431385993958,0.10533563792705536,0.16279742121696472
SBUX,0.008895034901797771,0.07137983292341232,0.09431349486112595,0.09477534145116806
MAR,0.005773491691797972,0.06053151935338974,0.07598349452018738,0.12825490534305573
GOOGL,0.049363311380147934,0.20331403613090515,0.22217856347560883,0.24407435953617096
KDP,0.00838719867169857,0.08332524448633194,0.09158165007829666,0.09540999680757523
TXN,0.02351510338485241,0.12804915010929108,0.15334634482860565,0.1470935195684433
BIDU,0.002608595183119178,0.0328025296330452,0.05107440799474716,0.11451223492622375
XLNX,0.014499089680612087,0.09757184237241745,0.12041216343641281,0.13148090243339539
AMGN,0.01000143401324749,0.08135847002267838,0.10000716894865036,0.09200989454984665
MDLZ,0.003822432830929756,0.05101529136300087,0.06182582676410675,0.057630132883787155
ISRG,0.05541449412703514,0.21302513778209686,0.23540283739566803,0.24725717306137085
NFLX,0.04206627607345581,0.196664497256279,0.2051006555557251,0.22045354545116425
EBAY,0.009608176536858082,0.08185213804244995,0.09802130609750748,0.09594707190990448
MRVL,0.01858612336218357,0.12339704483747482,0.13633093237876892,0.14787626266479492
NTES,0.0176983755081892,0.11367344111204147,0.13303524255752563,0.12902353703975677
GILD,0.0036058956757187843,0.048797570168972015,0.060049109160900116,0.4119024872779846
TSLA,0.21845194697380066,0.4373665750026703,0.46738842129707336,0.725125789642334
SNY,0.009650839492678642,0.08312849700450897,0.09823868423700333,0.09711124747991562
AVGO,0.018039854243397713,0.11546024680137634,0.13431252539157867,0.14305488765239716
PAYX,0.001954446081072092,0.03698796406388283,0.04420911893248558,0.05136386305093765
PEP,0.0021972726099193096,0.03632929176092148,0.04687507450580597,0.04404379054903984
ADSK,0.016104428097605705,0.10720951110124588,0.1269032210111618,0.1308595836162567
AMAT,0.017878206446766853,0.10194718092679977,0.13370941579341888,0.13296236097812653
TEAM,0.019198989495635033,0.11604836583137512,0.13856041431427002,0.14310495555400848
LRCX,0.056252557784318924,0.21213999390602112,0.23717620968818665,0.2842411696910858
