Stock,MSE,MAE,RMSE,MAPE
DXCM,0.33594274520874023,0.5733516812324524,0.5796056985855103,0.699959933757782
ASML,0.2960119843482971,0.528173565864563,0.5440698266029358,0.6626352667808533
CMCSA,0.1271662712097168,0.3295844495296478,0.35660380125045776,0.40179648995399475
QCOM,0.2650560140609741,0.49264001846313477,0.5148358941078186,0.6314936876296997
CDNS,0.2512277364730835,0.48313677310943604,0.5012262463569641,0.5934244990348816
WBA,0.02042405866086483,0.13504013419151306,0.14291276037693024,9256282619904.0
ROST,0.02749672159552574,0.14732003211975098,0.1658213585615158,0.23958495259284973
CSX,0.09615200012922287,0.28084638714790344,0.31008386611938477,0.315662145614624
BKNG,0.05855342000722885,0.18264907598495483,0.24197813868522644,0.22425024211406708
CME,0.011260305531322956,0.07198727130889893,0.10611458867788315,0.10631658881902695
POOL,0.30991530418395996,0.5528572797775269,0.5567003488540649,0.6471536755561829
JD,0.298338383436203,0.539435625076294,0.54620361328125,0.6443008184432983
ADP,0.014919152483344078,0.09902123361825943,0.12214398384094238,0.13861539959907532
MCHP,0.055828630924224854,0.19854767620563507,0.23628082871437073,0.2463415265083313
MNST,0.2586688995361328,0.49984583258628845,0.5085950493812561,0.6006812453269958
INTC,0.026962297037243843,0.15122760832309723,0.1642020046710968,0.25575587153434753
SBUX,0.12603603303432465,0.2784632742404938,0.3550155460834503,0.40921688079833984
MAR,0.02417340874671936,0.12636211514472961,0.15547800064086914,0.21556571125984192
GOOGL,0.12249743938446045,0.33623093366622925,0.34999632835388184,0.3997720777988434
KDP,0.06785659492015839,0.2545296549797058,0.2604929804801941,0.2918238937854767
TXN,0.2018093466758728,0.441921204328537,0.44923195242881775,0.5106135010719299
BIDU,0.012822870165109634,0.09557243436574936,0.11323811113834381,0.39439666271209717
XLNX,0.24381017684936523,0.47165533900260925,0.49377137422561646,0.6461734175682068
AMGN,0.18346841633319855,0.41429403424263,0.42833212018013,0.4893505573272705
MDLZ,0.27715587615966797,0.4988574683666229,0.5264559388160706,0.5389816761016846
ISRG,0.12426287680864334,0.3487022817134857,0.35250940918922424,0.40437930822372437
NFLX,0.20204991102218628,0.4258681833744049,0.44949963688850403,0.47936198115348816
EBAY,0.21854130923748016,0.4620063006877899,0.4674840271472931,0.5639630556106567
MRVL,0.21478120982646942,0.4533200263977051,0.46344494819641113,0.5362424850463867
NTES,0.3078748285770416,0.5513910055160522,0.5548647046089172,0.6411333084106445
GILD,0.04517142102122307,0.1842576563358307,0.21253569424152374,2.2083396911621094
TSLA,0.4032122790813446,0.619869589805603,0.6349899768829346,0.9524099826812744
SNY,0.14060001075267792,0.3659772276878357,0.37496668100357056,0.4361633062362671
AVGO,0.18572808802127838,0.41332653164863586,0.43096181750297546,0.5065514445304871
PAYX,0.04623057693243027,0.20460449159145355,0.21501296758651733,0.2666112184524536
PEP,0.27083835005760193,0.5138660669326782,0.5204213261604309,0.5918165445327759
ADSK,0.16651462018489838,0.39750656485557556,0.40806204080581665,0.4924328029155731
AMAT,0.11055523157119751,0.29631295800209045,0.3324984610080719,0.38650181889533997
TEAM,0.18929368257522583,0.42226484417915344,0.4350789487361908,0.5226131081581116
LRCX,0.2799317240715027,0.5107980966567993,0.5290857553482056,0.6912006139755249
WDAY,0.36518487334251404,0.5996087789535522,0.6043052673339844,0.7375064492225647
NXPI,0.19376163184642792,0.4338589310646057,0.4401836395263672,0.6033170819282532
KLAC,0.28710827231407166,0.5196623206138611,0.5358248353004456,0.6650379300117493
FISV,0.15513047575950623,0.3798404633998871,0.39386606216430664,0.4901946783065796
VRTX,0.15491817891597748,0.37224364280700684,0.39359647035598755,0.4877595603466034
MELI,0.3585490882396698,0.5809091925621033,0.5987896919250488,0.7806710004806519
AMZN,0.199692502617836,0.4448443055152893,0.4468696713447571,0.49844229221343994
SNPS,0.27152219414711,0.5068531632423401,0.5210779309272766,0.6036624908447266
ODFL,0.37232065200805664,0.6074128746986389,0.6101808547973633,0.6604264974594116
EXC,0.020891783758997917,0.10669127106666565,0.14453990757465363,0.19481074810028076
CSCO,0.09059764444828033,0.27932414412498474,0.3009944260120392,0.49777665734291077
REGN,0.18782615661621094,0.4163825809955597,0.43338915705680847,0.5511077046394348
SIVB,0.10160686075687408,0.27109354734420776,0.3187583088874817,0.35357266664505005
CTAS,0.18876436352729797,0.42941805720329285,0.43447020649909973,0.4790968894958496
MU,0.025698775425553322,0.10887894779443741,0.160308375954628,0.13294129073619843
VOD,0.0053410097025334835,0.057050175964832306,0.07308220863342285,0.2264322191476822
ORLY,0.13944213092327118,0.37015438079833984,0.37341952323913574,0.40320828557014465
CTSH,0.19369173049926758,0.41841191053390503,0.440104216337204,0.5275428891181946
ILMN,0.10542234778404236,0.30645719170570374,0.3246880769729614,0.4027491807937622
ADI,0.2020459771156311,0.4375062882900238,0.44949525594711304,0.545110285282135
ATVI,0.04291645064949989,0.17327341437339783,0.20716285705566406,0.20689821243286133
TROW,0.11294222623109818,0.3211994171142578,0.3360687792301178,0.3691137731075287
PYPL,0.18080995976924896,0.42019742727279663,0.42521753907203674,0.5203952193260193
GOOG,0.14571918547153473,0.3617948591709137,0.3817318379878998,0.4277801513671875
JBHT,0.07407666742801666,0.23029644787311554,0.2721703052520752,0.25849252939224243
AAPL,0.46810421347618103,0.6817600727081299,0.6841813921928406,0.8053202033042908
TMUS,0.3308635950088501,0.5603451728820801,0.5752074122428894,0.6515153646469116
KHC,0.06962893903255463,0.2590492069721222,0.2638729512691498,1.2899105548858643
ERIC,0.1605232059955597,0.3926360309123993,0.4006534814834595,0.444133996963501
NVDA,0.45157626271247864,0.6681216955184937,0.6719942688941956,0.7469135522842407
BIIB,0.08642922341823578,0.2678792178630829,0.2939884662628174,1.2880444526672363
INTU,0.1278664916753769,0.34926146268844604,0.35758423805236816,0.4012221395969391
ADBE,0.35091298818588257,0.5891728401184082,0.592379093170166,0.6625483632087708
COST,0.24922503530979156,0.49543389678001404,0.4992244243621826,0.5644295811653137
AMD,0.5132038593292236,0.7085596919059753,0.7163825035095215,0.8138667345046997
AEP,0.07121559977531433,0.25048312544822693,0.26686251163482666,0.366436630487442
ALGN,0.17061679065227509,0.3340035378932953,0.4130578637123108,0.4107784628868103
MTCH,0.4452005922794342,0.6571370363235474,0.6672335267066956,0.8397473692893982
MSFT,0.5670338869094849,0.7501037120819092,0.7530165314674377,0.8289934992790222
FB,0.16065901517868042,0.39396414160728455,0.4008229076862335,0.46084848046302795
IDXX,0.1719905436038971,0.3985498547554016,0.414717435836792,0.479397177696228
CHTR,0.2399214506149292,0.4874821603298187,0.4898177683353424,0.5417590737342834
AZN,0.19347158074378967,0.43171533942222595,0.43985405564308167,0.5239781737327576
EA,0.07011690735816956,0.2471114844083786,0.2647959589958191,0.3008383512496948
HON,0.14784449338912964,0.3691718876361847,0.3845055103302002,0.4885120689868927
FTNT,0.1628490388393402,0.39546844363212585,0.4035455882549286,0.4982120990753174
LULU,0.2203826904296875,0.463145911693573,0.46944934129714966,0.5414150357246399
